image_id,image_path,face_confidence,detection_time,original_size,face_region_size,processed_size,face_box,min_face_size,thresholds,scale_factor,ssim_score,psnr_score,mse_score,mae_score,original_blur,processed_blur,blur_degradation,original_sharpness,processed_sharpness,sharpness_degradation,original_contrast,processed_contrast,contrast_change,histogram_correlation,edge_preservation,mean_pixel_diff,std_pixel_diff,quality_category,size_reduction_ratio
sample_000,/fake/path/sample_000.jpg,0.8505169984129918,0.09190821536272646,778167,91090,25600,"[199, 102, 101, 187]",40,"[0.6, 0.7, 0.7]",0.709,0.9009215808670811,32.55015770344326,178.6429543354675,4.7737525049789395,20.067898874966335,20.261142283225706,0.11967753721736135,999.4801320323235,107.95747174529271,6.0336925934398185,39.87168879665576,53.142473325952736,-4.540120377606055,0.8174400320691076,0.7976554235368857,-5.154356620924533,1.0089589631895637,Good,0.2810407289493907
sample_001,/fake/path/sample_001.jpg,0.5806001604713534,0.2400422887393024,960337,69457,25600,"[183, 103, 205, 103]",40,"[0.6, 0.7, 0.7]",0.709,0.7940724303840585,30.55793783488613,20.438859950790576,69.85614265472452,149.22453771381407,280.50944192915824,3.4177361406707507,982.5807987453142,1541.9254906236486,0.2799497715478327,39.90914657134893,34.167057864631126,3.8685020841684095,0.7446174062329908,0.7210188114477658,6.116762888408679,25.34845166229189,Fair,0.36857336193616197
sample_002,/fake/path/sample_002.jpg,0.7448476794269602,0.040181880125130104,851279,177478,25600,"[111, 86, 198, 271]",40,"[0.6, 0.7, 0.7]",0.709,0.844251043695608,31.266596122209734,101.488935892602,43.645038248030296,63.90661333763098,12.73723936155019,9.942647858291114,1632.3670244324157,1459.6070383727586,2.928903575137122,83.72296253626672,40.79609194932624,-1.9931919500760062,0.8080383699079832,0.7808514560849769,3.5711257151174642,21.13123721307875,Fair,0.1442432301468351
sample_003,/fake/path/sample_003.jpg,0.8162663832523979,0.2230813405235561,1701482,68047,25600,"[141, 178, 220, 126]",40,"[0.6, 0.7, 0.7]",0.709,0.9498367016982031,34.65423625328343,55.70576927486144,34.0765945327789,197.13449718798333,0.6976409181650647,3.255937881481113,25.90702731911601,1076.8530045996786,0.6194864290759172,54.52936326533509,48.33939091648935,1.074694150473775,0.6214999420018559,0.9624732302765362,-0.2651387544921688,0.563767166482838,Good,0.37621056034799477
sample_004,/fake/path/sample_004.jpg,0.4299170571403787,0.424403698261526,1619043,148506,25600,"[172, 194, 137, 123]",40,"[0.6, 0.7, 0.7]",0.709,0.7978612160460385,31.560319005588,63.54456681783398,81.99495171985943,50.886827802519676,169.51694172789828,0.7826543049273488,578.9392270042705,1102.0962618729625,5.37817687578909,45.83543636448625,58.57503251588113,3.5906413991235535,0.855500571126074,0.5670110897471772,0.6564915811122479,19.93261995056838,Fair,0.17238360739633415
sample_005,/fake/path/sample_005.jpg,0.9626338669675081,0.08171095395863777,1840575,57400,25600,"[148, 196, 147, 230]",40,"[0.6, 0.7, 0.7]",0.709,0.8551319878156254,32.34059674010447,194.0196545963571,10.367350756805276,218.72058219415274,190.3328878686407,11.173973056250375,1515.0726972505308,2603.11986918127,10.093383117541162,48.57009065292473,30.654298044989503,0.7532952174164036,0.8211472920929238,0.6111369377460412,9.584138362132984,11.730995006583754,Good,0.445993031358885
sample_006,/fake/path/sample_006.jpg,0.8961606939566247,0.043090355059108076,860032,157455,25600,"[110, 97, 246, 103]",40,"[0.6, 0.7, 0.7]",0.709,0.9234680011156697,34.296068197560686,2.4616481080688613,20.73937572590548,19.493357022482268,282.1083147273303,4.73102396501144,755.7469254808728,1408.3927540772759,1.7095746074416867,45.47537767655331,57.77049794903608,5.227855841731585,0.7752953926024428,0.8062513452801009,1.537251059455279,69.15854621769476,Good,0.1625861357213172
sample_007,/fake/path/sample_007.jpg,0.9380855082669223,0.16573745072597124,735362,79592,25600,"[62, 109, 234, 156]",40,"[0.6, 0.7, 0.7]",0.709,0.9886739392254944,36.8810828885797,98.85776341980907,4.3202297389392905,7.358294369751587,50.54796509997536,0.8909846846298982,878.2371057125862,596.0126424025221,1.0426862528012855,40.86587462677585,45.44966826012434,-2.0638080659505325,0.8132285315585398,0.3754775384429176,-1.512359654922292,7.948952000990642,Excellent,0.32164036586591616
sample_008,/fake/path/sample_008.jpg,0.655130510970067,0.02037499222681897,1816669,182222,25600,"[186, 189, 228, 157]",40,"[0.6, 0.7, 0.7]",0.709,0.7983869127590479,26.98653915602623,246.76216316763887,11.680555039828942,27.415709425348172,9.857612629574012,6.813722112964472,1020.8343694814232,3284.4719024108053,2.3106408078397966,38.164268320554626,52.289704322304374,-1.6969314658909842,0.8087360693740602,0.8049448841610353,10.96796254441404,15.73763568670944,Fair,0.14048797620484904
sample_009,/fake/path/sample_009.jpg,0.6861272773495342,0.2880469826326727,1118992,99115,25600,"[177, 133, 251, 239]",40,"[0.6, 0.7, 0.7]",0.709,0.99,34.96832704201584,49.13006922239072,20.61654315689964,61.29559740510913,78.88143605763202,5.759492090820595,739.1461002798299,1273.6975452494523,7.6538016700357705,52.809918677350325,43.77300480179406,-1.0406112517863761,0.8662179275386623,0.6905138356791979,5.813141340357241,4.970007934601078,Excellent,0.2582858295918882
